Festival Name,Media 1 Festival,Media 2 Festival,Media 3 Festival,Description,Lineup artiste 1,Photo Lineup artiste 1,Lineup artiste 2,Photo Lineup artiste 2,Lineup artiste 3,Photo Lineup artiste 3,Lineup artiste 4,Photo Lineup artiste 4,Dates début,Dates fin,Genre,City,Country,Venue,Capacity,Website,Ticket Price (EUR),Accommodation Options,Nearest Airport,Atmosphere,Notes,Ticket Type,Currency,Price Tier 1,Price Tier 2,Price Tier 3,Description Hébergement Petit Groupe 1,Copie de  URL Hébergement Petit Groupe 1,Distance Hébergement Petit Groupe 1,Capacité Hebergement Petit Groupe 1,Prix/nuit Hébergement Petit Groupe 1,Prix total (3 nuits) Hébergement Petit Groupe 1,Équipements Hébergement Petit Groupe 1,Photo Hébergement Petit Groupe 1,Temps voiture Hébergement Petit Groupe 1, Description Hébergement Petit Groupe 2,URL Hébergement Petit Groupe 2,Distance Hébergement Petit Groupe 2,Capacité Hébergement Petit Groupe 2,Prix/nuit Hébergement Petit Groupe 2,Prix total (3 nuits) Hébergement Petit Groupe 2,Équipements Hébergement Petit Groupe 2,Photo Hébergement Petit Groupe 2,Temps voiture Hébergement Petit Groupe 2,Description Hébergement Petit Groupe 3,URL Hébergement Petit Groupe 3,Distance Hébergement Petit Groupe 3,Capacité Hébergement Petit Groupe 3,Prix/nuit Hébergement Petit Groupe 3,Prix total (3 nuits) Hébergement Petit Groupe 3,Équipements Hébergement Petit Groupe 3,Photo Hébergement Petit Groupe 3,Temps voiture Hébergement Petit Groupe 3,Description Hébergement Groupe Moyen 1,URL Hébergement Groupe Moyen 1,Distance Hébergement Groupe Moyen 1,Capacité Hébergement Groupe Moyen 1,Prix/nuit Hébergement Groupe Moyen 1,Prix total (3 nuits) Hébergement Groupe Moyen 1,Équipements Hébergement Groupe Moyen 1,Photo Hébergement Groupe Moyen 1,Temps voiture Hébergement Groupe Moyen 1,Description Hébergement Groupe Moyen 2,URL Hébergement Groupe Moyen 2,Distance Hébergement Groupe Moyen 2,Capacité Hébergement Groupe Moyen 2,Prix/nuit Hébergement Groupe Moyen 2,Prix total (3 nuits) Hébergement Groupe Moyen 2,Équipements Hébergement Groupe Moyen 2,Photo Hébergement Groupe Moyen 2,Temps voiture Hébergement Groupe Moyen 2,Description Hébergement Groupe Moyen 3,URL Hébergement Groupe Moyen 3,Distance Hébergement Groupe Moyen 3,Capacité Hébergement Groupe Moyen 3,Prix/nuit Hébergement Groupe Moyen 3,Prix total (3 nuits) Hébergement Groupe Moyen 3,Équipements Hébergement Groupe Moyen 3,Photo Hébergement Groupe Moyen 3,Temps voiture Hébergement Groupe Moyen 3,Description Hébergement Groupe Large 1,URL Hébergement Groupe Large 1,Distance Hébergement Groupe Large 1,Capacité Hébergement Groupe Large 1,Prix/nuit Hébergement Groupe Large 1,Prix total (3 nuits) Hébergement Groupe Large 1,Équipements Hébergement Groupe Large 1,Photo Hébergement Groupe Large 1,Temps voiture Hébergement Groupe Large 1,Description Hébergement Groupe Large 2,URL Hébergement Groupe Large 2,Distance Hébergement Groupe Large 2,Capacité Hébergement Groupe Large 2,Prix/nuit Hébergement Groupe Large 2,Prix total (3 nuits) Hébergement Groupe Large 2,Équipements Hébergement Groupe Large 2,Photo Hébergement Groupe Large 2,Temps voiture Hébergement Groupe Large 2,Description Hébergement Groupe Large 3,URL Hébergement Groupe Large 3,Distance Hébergement Groupe Large 3,Capacité Hébergement Groupe Large 3,Prix/nuit Hébergement Groupe Large 3,Prix total (3 nuits) Hébergement Groupe Large 3,Équipements Hébergement Groupe Large 3,Photo Hébergement Groupe Large 3,Temps voiture Hébergement Groupe Large 3,Description Hébergement Très Grand Groupe 1,URL Hébergement Très Grand Groupe 1,Distance Hébergement Très Grand Groupe 1,Capacité Hébergement Très Grand Groupe 1,Prix/nuit Hébergement Très Grand Groupe 1, Prix total (3 nuits) Hébergement Très Grand Groupe 1,Équipements Hébergement Très Grand Groupe 1,Photo Hébergement Très Grand Groupe 1,Temps voiture Hébergement Très Grand Groupe 1,Description Hébergement Très Grand Groupe 2,URL Hébergement Très Grand Groupe 2,Distance Hébergement Très Grand Groupe 2,Capacité Hébergement Très Grand Groupe 2,Prix/nuit Hébergement Très Grand Groupe 2,Prix total (3 nuits) Hébergement Très Grand Groupe 2,Équipements Hébergement Très Grand Groupe 2,Photo Hébergement Très Grand Groupe 2,Temps voiture Hébergement Très Grand Groupe 2,Description Vol 1,URL Vol 1,Aéroport de départ 1,Aéroport d’arrivée 1,Date Aller 1,Date Retour 1,Classe 1,Prix indicatif unitaire 1,Compagnie aérienne 1,Durée estimée du vol
Electric Daisy Carnival,,,,"Electric Daisy Carnival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in sites côtiers.",Marshmello,,Porter Robinson,,Illenium,,Alison Wonderland,,2026-08-01,2026-08-06,EDM,New Tanya,UK,New Tanya Open Air,58133,https://www.electricdaisycarnival.com,149,"Hotel, Glamping, Airbnb",New Tanya International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,Camping Pass,EUR,96,273,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parookaville,,,,"Parookaville est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Robin Schulz,,Steve Angello,,Lost Frequencies,,Oliver Heldens,,2025-07-08,2026-07-22,EDM,Brownton,Belgium,Brownton Indoor Club,18812,https://www.parookaville.com,109,Hotel,Brownton International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,General Admission,USD,77,226,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defqon 1,,,,"Defqon 1 est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Angerfist,,Wildstylez,,Brennan Heart,,D-Block & S-te-Fan,,2025-07-08,2025-07-08,Techno,South Lindastad,Hungary,South Lindastad Open Air,45821,https://www.defqon1.com,207,Camping,South Lindastad International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,VIP,GBP,54,208,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Island,,,,"Hard Island est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Da Tweekaz,,Atmozfears,,Ran-D,,Noisecontrollers,,2026-07-18,2026-07-25,House,Roblestown,Iceland,Roblestown Indoor Club,29291,https://www.hardisland.com,301,Hotel,Roblestown International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Backstage Pass,EUR,73,221,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sziget Festival,,,,"Sziget Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Fred again..,,Rosalía,,Odesza,,The Chainsmokers,,2026-08-17,2026-08-22,EDM,Simpsonmouth,Iceland,Simpsonmouth Open Air,11658,https://www.szigetfestival.com,253,"Bungalow, Glamping",Simpsonmouth International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Camping Pass,EUR,75,181,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Parade Revival,,,,"Love Parade Revival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Paul van Dyk,,Sven Väth,,Westbam,,Ellen Allien,,2026-07-04,2026-07-11,Techno,Wilsontown,Italy,Wilsontown Indoor Club,22001,https://www.loveparaderevival.com,88,Hotel,Wilsontown International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,General Admission,USD,57,217,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprices Festival,,,,"Caprices Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Maceo Plex,,Adriatique,,Seth Troxler,,Sonja Moonear,,2026-08-10,2026-08-17,EDM,East Valeriestad,Netherlands,East Valeriestad Open Air,14744,https://www.capricesfestival.com,354,"Camping, Bungalow",East Valeriestad International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,Backstage Pass,EUR,124,221,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epizode Festival,,,,"Epizode Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Bedouin,,Damian Lazarus,,Lee Burridge,,Monolink,,2026-07-02,2026-07-04,Techno,Richardview,Germany,Richardview Indoor Club,12212,https://www.epizodefestival.com,166,Bungalow,Richardview International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,General Admission,GBP,112,239,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kappa FuturFestival,,,,"Kappa FuturFestival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Carl Cox,,Solomun,,Jamie Jones,,Charlotte de Witte,,2026-08-01,2026-08-04,Techno,South David,USA,South David Indoor Club,75770,https://www.kappafuturfestival.com,202,"Bungalow, No accommodation included, Airbnb",South David International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,VIP,EUR,86,283,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Plages Electroniques,,,,"Les Plages Electroniques est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",DJ Snake,,Kungs,,Ofenbach,,Bob Sinclar,,2026-07-21,2026-07-27,Techno,Lake Kevinmouth,Croatia,Lake Kevinmouth Open Air,22615,https://www.lesplageselectroniques.com,231,"Glamping, Hotel",Lake Kevinmouth International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,VIP,EUR,55,273,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuits Sonores,,,,"Nuits Sonores est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Laurent Garnier,,Jon Hopkins,,Kelly Lee Owens,,Apparat,,2026-08-12,2026-08-14,Psytrance,Courtneyland,Thailand,Courtneyland Open Air,16359,https://www.nuitssonores.com,116,Airbnb,Courtneyland International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,VIP,GBP,52,203,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather Festival,,,,"Weather Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Ben Klock,,Marcel Dettmann,,Rødhåd,,The Black Madonna,,2026-08-10,2026-08-17,Trance,Yoderside,Germany,Yoderside Open Air,70699,https://www.weatherfestival.com,269,"Glamping, No accommodation included, Airbnb",Yoderside International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Camping Pass,EUR,95,236,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garorock,,,,"Garorock est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Petit Biscuit,,DJ Snake,,Damso,,Polo & Pan,,2026-08-03,2026-08-06,Psytrance,Lake Jasonbury,Vietnam,Lake Jasonbury Open Air,20597,https://www.garorock.com,78,"Hotel, Glamping, Bungalow",Lake Jasonbury International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Camping Pass,USD,58,237,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Kept Secret,,,,"Best Kept Secret est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Jamie xx,,Caribou,,Khruangbin,,Arlo Parks,,2026-07-09,2026-07-15,Techno,Colinville,Portugal,Colinville Indoor Club,18625,https://www.bestkeptsecret.com,104,"Airbnb, Bungalow, Camping",Colinville International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,Camping Pass,USD,50,269,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parklife,,,,"Parklife est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in sites côtiers.",Disclosure,,Peggy Gou,,CamelPhat,,AJ Tracey,,2026-08-02,2026-08-08,Trance,Lake Jonathanport,Hungary,Lake Jonathanport Open Air,78218,https://www.parklife.com,135,"No accommodation included, Airbnb",Lake Jonathanport International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,General Admission,GBP,95,187,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Are FSTVL,,,,"We Are FSTVL est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Fisher,,MK,,Sonny Fodera,,Dom Dolla,,2026-08-21,2026-08-26,Techno,East Trevor,France,East Trevor Open Air,33693,https://www.wearefstvl.com,340,Glamping,East Trevor International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,General Admission,GBP,77,272,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality On The Beach,,,,"Hospitality On The Beach est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Netsky,,Camo & Krooked,,London Elektricity,,High Contrast,,2026-07-20,2026-07-26,Trance,East Donald,Netherlands,East Donald Indoor Club,74734,https://www.hospitalityonthebeach.com,122,"No accommodation included, Bungalow",East Donald International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,General Admission,GBP,117,296,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hideout Festival,,,,"Hideout Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Solardo,,Patrick Topping,,Richy Ahmed,,Sonny Fodera,,2026-08-17,2026-08-24,EDM,New Trevor,Iceland,New Trevor Indoor Club,36192,https://www.hideoutfestival.com,98,"Airbnb, Hotel",New Trevor International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,VIP,USD,105,252,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction 2,,,,"Junction 2 est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Amelie Lens,,Dixon,,Honey Dijon,,Ben Klock,,2026-08-17,2026-08-21,EDM,West Amandachester,Portugal,West Amandachester Open Air,16541,https://www.junction2.com,104,"Camping, Glamping, Hotel",West Amandachester International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,General Admission,GBP,140,284,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Sleep Festival,,,,"No Sleep Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Nina Kraviz,,Recondite,,DJ Tennis,,KiNK,,2026-08-04,2026-08-10,EDM,West Christinaborough,Thailand,West Christinaborough Open Air,17654,https://www.nosleepfestival.com,249,Airbnb,West Christinaborough International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,Backstage Pass,GBP,110,288,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass Coast,,,,"Bass Coast est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Ivy Lab,,Shades,,Mat the Alien,,Ekali,,2026-07-04,2026-07-10,House,Stephensview,India,Stephensview Open Air,25831,https://www.basscoast.com,292,"Airbnb, Glamping, No accommodation included",Stephensview International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,Camping Pass,USD,118,285,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasing Summer,,,,"Chasing Summer est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Illenium,,RL Grime,,Zeds Dead,,San Holo,,2026-08-04,2026-08-07,Hardstyle,West Andrew,UK,West Andrew Open Air,66646,https://www.chasingsummer.com,302,"Hotel, Glamping, Camping",West Andrew International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,General Admission,GBP,55,157,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Ship,,,,"Holy Ship est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Diplo,,Claude VonStroke,,Chris Lake,,Tchami,,2026-08-15,2026-08-18,Trance,North Jasonberg,Australia,North Jasonberg Open Air,38728,https://www.holyship.com,132,No accommodation included,North Jasonberg International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,VIP,GBP,91,209,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRSSD Festival,,,,"CRSSD Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Jamie xx,,Kaytranada,,Gorgon City,,Rufus Du Sol,,2026-07-18,2026-07-22,Techno,West Travis,Iceland,West Travis Open Air,63095,https://www.crssdfestival.com,237,"Bungalow, Camping",West Travis International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,VIP,EUR,100,168,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Forest,,,,"Electric Forest est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Griz,,Zeds Dead,,Louis the Child,,Big Gigantic,,2026-08-04,2026-08-08,House,Ryanburgh,USA,Ryanburgh Open Air,56083,https://www.electricforest.com,52,"No accommodation included, Hotel, Camping",Ryanburgh International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,VIP,USD,139,246,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Solstice,,,,"Secret Solstice est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Fatboy Slim,,Skream,,Seth Troxler,,Bicep,,2026-07-07,2026-07-13,House,Elizabethborough,Italy,Elizabethborough Open Air,64721,https://www.secretsolstice.com,57,Hotel,Elizabethborough International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,General Admission,EUR,141,272,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primavera Sound,,,,"Primavera Sound est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Fred again..,,Aphex Twin,,FKA Twigs,,Jamie xx,,2026-08-10,2026-08-13,House,Garrisonland,UK,Garrisonland Open Air,59610,https://www.primaverasound.com,228,Bungalow,Garrisonland International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,General Admission,USD,130,151,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coachella,,,,"Coachella est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Calvin Harris,,Black Coffee,,Peggy Gou,,Frank Ocean,,2026-08-11,2026-08-15,Trance,South Gerald,India,South Gerald Open Air,73731,https://www.coachella.com,226,"No accommodation included, Hotel, Airbnb",South Gerald International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Camping Pass,EUR,69,252,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aller-retour Paris Charles de Gaulle (CDG) ➝ Eindhoven (EIN) en classe économique,https://www.kayak.fr/flights/CDG-EIN/2026-06-21/2026-06-23?ucs=w0gm43&sort=bestflight_a#dialog,Paris Charles de Gaulle (CDG),Eindhoven Airport (EIN),2026-06-21T00:00:00+02:00,2026-06-23T00:00:00+02:00,Économique,À vérifier sur Kayak au moment de la réservation,Non précisée (à récupérer sur Kayak en détail),Environ 1h15 (CDG ➝ EIN)
